"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252","Create file with empty filename","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","13","Get user me","LMS service","2026-08-26","passed","2026-08-26","Get entity","Users","",""
"","273","Login with correct email and password","LMS service","2026-08-26","passed","2026-08-26","Login","Authentication","",""
"","242","Create file","LMS service","2026-08-26","passed","2026-08-26","Create entity","Files","",""
"","253","Create file with empty directory","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","13","Get file","LMS service","2026-08-26","passed","2026-08-26","Get entity","Files","",""
"","260","Create exercise","LMS service","2026-08-26","passed","2026-08-26","Create entity","Exercises","",""
"","19","Delete file","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Files","",""
"","254","Get file with incorrect file id","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","281","Get courses","LMS service","2026-08-26","passed","2026-08-26","Get entities","Courses","",""
"","17","Delete exercise","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Exercises","",""
"","274","Update exercise","LMS service","2026-08-26","passed","2026-08-26","Update entity","Exercises","",""
"","285","Update course","LMS service","2026-08-26","passed","2026-08-26","Update entity","Courses","",""
"","18","Get exercise","LMS service","2026-08-26","passed","2026-08-26","Get entity","Exercises","",""
"","27","Create course","LMS service","2026-08-26","passed","2026-08-26","Create entity","Courses","",""
"","527","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","530","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","519","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","277","Get exercises","LMS service","2026-08-26","passed","2026-08-26","Get entities","Exercises","",""
