"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Delete exercise","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Exercises","",""
"","24","Create course","LMS service","2026-08-26","passed","2026-08-26","Create entity","Courses","",""
"","211","Update exercise","LMS service","2026-08-26","passed","2026-08-26","Update entity","Exercises","",""
"","204","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","8","Get user me","LMS service","2026-08-26","passed","2026-08-26","Get entity","Users","",""
"","9","Get exercise","LMS service","2026-08-26","passed","2026-08-26","Get entity","Exercises","",""
"","187","Create file with empty directory","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","479","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","10","Get file","LMS service","2026-08-26","passed","2026-08-26","Get entity","Files","",""
"","203","Get courses","LMS service","2026-08-26","passed","2026-08-26","Get entities","Courses","",""
"","8","Get file with incorrect file id","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","78","Create file","LMS service","2026-08-26","passed","2026-08-26","Create entity","Files","",""
"","13","Delete file","LMS service","2026-08-26","passed","2026-08-26","Delete entity","Files","",""
"","460","Create user","LMS service","2026-08-26","passed","2026-08-26","Create entity","Users","",""
"","42","Create file with empty filename","LMS service","2026-08-26","passed","2026-08-26","Validate entity","Files","",""
"","194","Create exercise","LMS service","2026-08-26","passed","2026-08-26","Create entity","Exercises","",""
"","440","Login with correct email and password","LMS service","2026-08-26","passed","2026-08-26","Login","Authentication","",""
"","7","Get exercises","LMS service","2026-08-26","passed","2026-08-26","Get entities","Exercises","",""
"","459","Update course","LMS service","2026-08-26","passed","2026-08-26","Update entity","Courses","",""
